URL,Suspicious,Threat Score,Total Indicators,Base64Strings,PowerShellCommands,EncodedPowerShell,PowerShellDownloads,ClipboardManipulation,ClipboardCommands,CaptchaElements,ObfuscatedJavaScript,SuspiciousCommands,SuspiciousKeywords,IP Addresses,High Risk Commands,JavaScript Redirects
https://booking.com-sign-in.world,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://pub-f00f6c74748b448cad437351a835c6cf.r2.dev,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://pub-1437548a322d4c35be5299d258f652b9.r2.dev,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://booking-verify-check-number1883.com,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://cuanahebat.xyz,Yes,374,49,0,3,0,0,6,0,3,0,4,19,0,2,0
https://sindangkasihnews.com,Yes,374,49,0,3,0,0,6,0,3,0,4,19,0,2,0
https://birdrankhelp.com,Yes,366,47,0,3,0,0,6,0,3,0,4,18,0,2,0
https://cryptoguardwallx.com,Yes,51,17,0,0,0,0,0,0,3,0,0,9,0,0,0
https://easygoldtrading.com,No,1857,903,1,0,0,0,0,0,0,0,0,4,0,0,1
https://cloudflare.cheahpartners.com,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://balbharatischool.in,Yes,374,49,0,3,0,0,6,0,3,0,4,19,0,2,0
https://reachbirdrank.com,Yes,366,47,0,3,0,0,6,0,3,0,4,18,0,2,0
https://babybauchblog.de,Yes,2177,728,23,0,0,0,4,0,0,0,2,3,0,2,1
https://pub-31a7ccb7d5264101a447a2914e357e5f.r2.dev,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://365-docs.online,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://google-security-bypass.pages.dev,No,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
https://yourishikesh.com,No,1608,245,4,0,0,0,0,0,0,0,0,2,11,0,0
https://gcloudfs.icu,Yes,286,44,1,0,0,0,0,0,1,3,0,7,0,0,0
https://zeta-financial.com,No,394,176,15,0,0,0,0,0,0,0,0,2,0,0,0
https://gclouds.icu,Yes,286,44,1,0,0,0,0,0,1,3,0,7,0,0,0
https://gecal.com.br,No,10574,1404,18,0,0,0,0,0,0,0,0,2,3,0,0
https://www.africanhillslodge.co.za,No,399,151,4,0,0,0,0,0,0,0,0,3,0,0,0
https://booking-verification.click,Yes,375,51,0,3,0,0,6,0,4,0,3,18,1,2,0
https://google-security-bypass-v-udk3nbdbw842.pages.dev,Yes,100,8,1,2,0,0,0,0,0,1,2,0,0,1,0
